#,No. expediente,Parte actora,Parte demandada,Parte notificada,Fecha de  publicación,Síntesis,Sala,Magistrado,Secretario,Expediente
11,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",18-02-2025,"Se da cuenta con el escrito presentado en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal el 05/02/2025, por la representante legal de la parte actora. Se tienen por presentados los alegatos de su parte, los cuáles se tomarán en cuenta en el momento de dictar sentencia.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
12,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",18-02-2025,"Se da cuenta con el escrito presentado en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal el 05/02/2025, por la representante legal de la parte actora. Se tienen por presentados los alegatos de su parte, los cuáles se tomarán en cuenta en el momento de dictar sentencia.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
13,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",18-02-2025,"Se da cuenta con el oficio presentado en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal el 07/02/2025, por la autoridad demandada. Se tienen por presentados los alegatos de su parte, los cuáles se tomarán en cuenta en el momento de dictar sentencia.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
14,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",18-02-2025,"Se da cuenta del oficio presentado el 017/02/2025, en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por la autoridad demandada, por el que solicita se le expidan copias simples de los dictámenes rendidos por la parte actora y el perito tercero designado por esta Sala. Se autoriza la expedición de las copias que solicita previa constancia de recibo que se otorgue en autos.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
15,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",18-02-2025,"Se da cuenta del oficio presentado el 017/02/2025, en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por la autoridad demandada, por el que solicita se le expidan copias simples de los dictámenes rendidos por la parte actora y el perito tercero designado por esta Sala. Se autoriza la expedición de las copias que solicita previa constancia de recibo que se otorgue en autos.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
16,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,13-02-2025,"Se da cuenta del oficio presentado el 017/02/2025, en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por la autoridad demandada, por el que solicita se le expidan copias simples de los dictámenes rendidos por la parte actora y el perito tercero designado por esta Sala. Se autoriza la expedición de las copias que solicita previa constancia de recibo que se otorgue en autos.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
17,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,13-02-2025,"Se da cuenta con el oficio presentado en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal el 07/02/2025, por la autoridad demandada. Se tienen por presentados los alegatos de su parte, los cuáles se tomarán en cuenta en el momento de dictar sentencia.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
18,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,13-02-2025,"Se da cuenta con el escrito presentado en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal el 05/02/2025, por la representante legal de la parte actora. Se tienen por presentados los alegatos de su parte, los cuáles se tomarán en cuenta en el momento de dictar sentencia.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
19,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",27-01-2025,"Apreciando de autos que no existen cuestiones pendientes por resolver; en consecuencia, se concede a las partes término de 5 días para formular alegatos a las partes, en el entendido que de no presentarse cuestión alguna por desahogarse, con alegatos o sin ellos quedará cerrada la instrucción y se pronunciará la sentencia correspondiente.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
20,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",27-01-2025,"Apreciando de autos que no existen cuestiones pendientes por resolver; en consecuencia, se concede a las partes término de 5 días para formular alegatos a las partes, en el entendido que de no presentarse cuestión alguna por desahogarse, con alegatos o sin ellos quedará cerrada la instrucción y se pronunciará la sentencia correspondiente.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
21,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",27-01-2025,"Se da cuenta con el escrito presentado el 14/01/2025 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el perito del tercero interesado, en materia contable. Visto y analizado su contenido SE TIENE POR RENDIDO Y RATIFICADO SU DICTAMEN PERICIAL. Se ordena agregar a sus autos para los efectos legales a que haya lugar y para ser valorado en el momento procesal oportuno.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
22,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",27-01-2025,"Se da cuenta con el escrito presentado el 14/01/2025 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el perito del tercero interesado, en materia contable. Visto y analizado su contenido SE TIENE POR RENDIDO Y RATIFICADO SU DICTAMEN PERICIAL. Se ordena agregar a sus autos para los efectos legales a que haya lugar y para ser valorado en el momento procesal oportuno.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
23,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,22-01-2025,"Apreciando de autos que no existen cuestiones pendientes por resolver; en consecuencia, se concede a las partes término de 5 días para formular alegatos a las partes, en el entendido que de no presentarse cuestión alguna por desahogarse, con alegatos o sin ellos quedará cerrada la instrucción y se pronunciará la sentencia correspondiente.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
24,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,22-01-2025,"Se da cuenta con el escrito presentado el 14/01/2025 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el perito del tercero interesado, en materia contable. Visto y analizado su contenido SE TIENE POR RENDIDO Y RATIFICADO SU DICTAMEN PERICIAL. Se ordena agregar a sus autos para los efectos legales a que haya lugar y para ser valorado en el momento procesal oportuno.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
25,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",10-12-2024,"Apreciando de autos que el perito del tercero interesado, designado para el desahogo de la prueba pericial en materia contable ya aceptó el cargo que le fue conferido, se le concede un término de 15 días hábiles para rendir y ratificar el mismo, apercibido que en caso de incumplimiento se tendrá por precluido su derecho para tal efecto; haciéndose de su conocimiento que la copia simple del cuestionario, se encuentra a su disposición en las instalaciones que ocupa esta Primera Sala.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
26,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",10-12-2024,"Apreciando de autos que el perito del tercero interesado, designado para el desahogo de la prueba pericial en materia contable ya aceptó el cargo que le fue conferido, se le concede un término de 15 días hábiles para rendir y ratificar el mismo, apercibido que en caso de incumplimiento se tendrá por precluido su derecho para tal efecto; haciéndose de su conocimiento que la copia simple del cuestionario, se encuentra a su disposición en las instalaciones que ocupa esta Primera Sala.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
27,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,05-12-2024,"Apreciando de autos que el perito del tercero interesado, designado para el desahogo de la prueba pericial en materia contable ya aceptó el cargo que le fue conferido, se le concede un término de 15 días hábiles para rendir y ratificar el mismo, apercibido que en caso de incumplimiento se tendrá por precluido su derecho para tal efecto; haciéndose de su conocimiento que la copia simple del cuestionario, se encuentra a su disposición en las instalaciones que ocupa esta Primera Sala.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
28,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",08-11-2024,"Se da cuenta con escrito presentado el 14/10/2024 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el representante legal de los terceros interesados, cumplimenta el requerimiento formulado por acuerdo de 13/09/2024. Se tiene por designado al perito de su parte y en ese mismo sentido, se requiere para que en el término de diez días lo presente ante esta Sala para protestar el cargo conferido.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
29,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",08-11-2024,"Se da cuenta con escrito presentado el 14/10/2024 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el representante legal de los terceros interesados, cumplimenta el requerimiento formulado por acuerdo de 13/09/2024. Se tiene por designado al perito de su parte y en ese mismo sentido, se requiere para que en el término de diez días lo presente ante esta Sala para protestar el cargo conferido.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
30,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",REPRESENTANTE LEGAL DE LOS TERCEROS INTERESADOS: SINDICATO INDUSTRIA DE TRABAJADORES EN MOLINOS PARA NIXTAMAL Y SIMILARES DE JALISCO,05-11-2024,"Se da cuenta con escrito presentado el 14/10/2024 en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal, por el representante legal de los terceros interesados, cumplimenta el requerimiento formulado por acuerdo de 13/09/2024. Se tiene por designado al perito de su parte y en ese mismo sentido, se requiere para que en el término de diez días lo presente ante esta Sala para protestar el cargo conferido.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
31,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",14-10-2024,"Se da cuenta con el escrito presentado en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal el 28/08/2024, por el que el representante de los terceros comparece a designar perito de su parte. Apreciando que fue omiso en indicar su domicilio, se requiere para que en el término de tres días lo señale.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
32,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",14-10-2024,"Se da cuenta con el escrito presentado en la Oficialía de Partes Común para las Salas Regionales de Occidente de este Tribunal el 28/08/2024, por el que el representante de los terceros comparece a designar perito de su parte. Apreciando que fue omiso en indicar su domicilio, se requiere para que en el término de tres días lo señale.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
33,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA",14-10-2024,"En cumplimiento a la sentencia emitida por la Sala Superior de este Tribunal, se procede a la verificación del expediente administrativo, advirtiéndose que la autoridad acompañó la mayoría de las documentales ofrecidas, por lo que se tienen por admitidas; sin embargo, se hace efectivo el apercibimiento, con relación a las documentales que resultan ilegibles.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
34,1310/20-07-01-7,"INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.","ADMINISTRACIÓN DESCONCENTRADA JURIDICA DE JALISCO ""3"" DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA","INDUSTRIALIZADORA DE MAIZ, S.A. DE C.V.",14-10-2024,"En cumplimiento a la sentencia emitida por la Sala Superior de este Tribunal, se procede a la verificación del expediente administrativo, advirtiéndose que la autoridad acompañó la mayoría de las documentales ofrecidas, por lo que se tienen por admitidas; sin embargo, se hace efectivo el apercibimiento, con relación a las documentales que resultan ilegibles.",PRIMERA SALA REGIONAL DE OCCIDENTE,MANUEL EDUARDO MENDOZA JIMENEZ,PATRICIA BALTAZAR ALBA,1310/20-07-01-7
